,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank,points
0,3,2003,SEAGRAVE Tahnee,1,52.2,64.814,211.338,240.134,281.291,310.96,14,3,Finished,10007414016,1.0,0.0,0.0,1.0,0.0,0.0,146.524,1.0,0.0,0.0,1.0,0.0,0.0,28.795999999999992,1.0,0.0,0.0,1.0,0.0,0.0,41.15700000000001,2.0,0.034000000000020236,0.0,1.0,0.0,0.0,29.668999999999983,1.0,0.0,0.0,14.500000000000002,0.0,3.0,200.0
1,1,2001,NICOLE Myriam,2,50.72,65.404,216.908,247.122,288.983,319.211,15,2,Finished,10004535237,3.0,0.5900000000000034,0.5900000000000034,2.0,5.569999999999993,5.569999999999993,151.504,5.0,4.97999999999999,4.97999999999999,2.0,6.988000000000028,6.988000000000028,30.214000000000027,4.0,1.4180000000000348,1.4180000000000348,2.0,7.692000000000007,7.692000000000007,41.86099999999999,4.0,0.7379999999999995,0.7039999999999793,2.0,8.251000000000033,8.251000000000033,30.22800000000001,7.0,0.5590000000000259,0.5590000000000259,14.088888888888889,0.4111111111111132,8.0,160.0
2,2,2002,ATHERTON Rachel,3,49.81,65.12,218.276,247.811,289.281,320.016,16,1,Finished,10003434487,2.0,0.3060000000000116,0.3060000000000116,3.0,6.938000000000017,6.938000000000017,153.156,8.0,6.632000000000005,6.632000000000005,3.0,7.677000000000021,7.677000000000021,29.534999999999997,2.0,0.7390000000000043,0.7390000000000043,3.0,7.990000000000009,7.990000000000009,41.47,3.0,0.3470000000000084,0.3129999999999882,3.0,9.05600000000004,9.05600000000004,30.735000000000014,11.0,1.066000000000031,1.066000000000031,13.836111111111112,0.6638888888888896,11.0,140.0
3,4,2004,CABIROU Marine,4,50.55,68.834,219.147,249.423,291.659,321.782,11,6,Finished,10009563069,5.0,4.02000000000001,4.02000000000001,4.0,7.8089999999999975,7.8089999999999975,150.313,2.0,3.7889999999999873,3.7889999999999873,4.0,9.289000000000016,9.289000000000016,30.27600000000001,5.0,1.4800000000000182,1.4800000000000182,4.0,10.367999999999995,10.367999999999995,42.23599999999999,6.0,1.1129999999999995,1.0789999999999793,4.0,10.822000000000003,10.822000000000003,30.12299999999999,5.0,0.45400000000000773,0.45400000000000773,14.041666666666666,0.4583333333333357,9.0,125.0
4,7,2007,HANNAH Tracey,5,53.08,69.64,221.078,251.784,292.907,322.744,13,4,Finished,10003732258,8.0,4.826000000000008,4.826000000000008,6.0,9.740000000000009,9.740000000000009,151.438,4.0,4.913999999999987,4.913999999999987,6.0,11.650000000000006,11.650000000000006,30.70599999999999,7.0,1.9099999999999966,1.9099999999999966,5.0,11.615999999999985,11.615999999999985,41.12299999999999,1.0,0.0,-0.034000000000020236,5.0,11.784000000000049,11.784000000000049,29.837000000000046,2.0,0.1680000000000632,0.1680000000000632,14.744444444444445,0.0,1.0,110.0
5,5,2005,RAVANEL Cecile,6,48.7,69.94,220.347,250.502,293.668,324.368,12,5,Finished,10002816317,10.0,5.126000000000005,5.126000000000005,5.0,9.009000000000015,9.009000000000015,150.407,3.0,3.8830000000000098,3.8830000000000098,5.0,10.368000000000023,10.368000000000023,30.155,3.0,1.3590000000000089,1.3590000000000089,6.0,12.37700000000001,12.37700000000001,43.166,11.0,2.0430000000000064,2.008999999999986,6.0,13.408000000000015,13.408000000000015,30.69999999999999,10.0,1.031000000000006,1.031000000000006,13.527777777777779,1.2166666666666668,14.0,95.0
6,9,2009,CURD Katy,7,49.81,68.445,222.227,252.625,295.056,325.459,7,10,Finished,10006044292,4.0,3.6310000000000002,3.6310000000000002,9.0,10.88900000000001,10.88900000000001,153.782,9.0,7.25800000000001,7.25800000000001,7.0,12.491000000000014,12.491000000000014,30.397999999999996,6.0,1.6020000000000039,1.6020000000000039,7.0,13.764999999999986,13.764999999999986,42.43099999999998,7.0,1.3079999999999927,1.2739999999999725,7.0,14.499000000000024,14.499000000000024,30.40300000000002,9.0,0.7340000000000373,0.7340000000000373,13.836111111111112,0.9083333333333332,11.0,80.0
7,8,2008,SIEGENTHALER Emilie,8,51.15,69.004,221.473,252.675,295.47,326.604,9,8,Finished,10004167243,6.0,4.190000000000012,4.190000000000012,7.0,10.13500000000002,10.13500000000002,152.469,6.0,5.944999999999993,5.944999999999993,8.0,12.541000000000025,12.541000000000025,31.201999999999998,10.0,2.406000000000006,2.406000000000006,8.0,14.17900000000003,14.17900000000003,42.795000000000016,9.0,1.6720000000000255,1.6380000000000052,8.0,15.644000000000005,15.644000000000005,31.133999999999958,12.0,1.464999999999975,1.464999999999975,14.208333333333334,0.5361111111111114,6.0,70.0
8,10,2010,SALAZAR Mariana,9,49.3,69.152,221.653,253.741,296.977,328.307,8,9,Finished,10007687838,7.0,4.338000000000008,4.338000000000008,8.0,10.314999999999998,10.314999999999998,152.50099999999998,7.0,5.976999999999975,5.976999999999975,9.0,13.607000000000028,13.607000000000028,32.08800000000002,13.0,3.29200000000003,3.29200000000003,9.0,15.685999999999979,15.685999999999979,43.23599999999996,13.0,2.112999999999971,2.078999999999951,9.0,17.347000000000037,17.347000000000037,31.33000000000004,13.0,1.6610000000000582,1.6610000000000582,13.694444444444445,1.0500000000000007,12.0,60.0
9,14,2014,WIDMANN Veronika,10,49.87,70.073,224.835,255.885,299.41,331.65,5,12,Finished,10007423312,12.0,5.259,5.259,10.0,13.497000000000014,13.497000000000014,154.762,10.0,8.238,8.238,10.0,15.751000000000005,15.751000000000005,31.049999999999983,9.0,2.2539999999999907,2.2539999999999907,10.0,18.119000000000028,18.119000000000028,43.525000000000034,15.0,2.4020000000000437,2.3680000000000234,10.0,20.689999999999998,20.689999999999998,32.23999999999995,15.0,2.5709999999999695,2.5709999999999695,13.852777777777778,0.8916666666666675,10.0,55.0
