,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
71,58,1058,JAUCH Jasper,72,,64.667,201.317,228.383,267.181,294.924,56,77,Finished,10007455745,
72,47,1047,VON KLEBELSBERG Johannes,73,,64.509,202.475,229.658,268.464,295.441,45,88,Finished,10008169505,
73,37,1037,SEAGRAVE Kaos,74,,64.8,204.072,231.676,268.927,295.577,35,98,Finished,10011013928,
74,94,1094,NEWELL Jake,75,,64.725,201.493,229.098,267.657,295.588,89,44,Finished,10007488582,
75,109,1109,LANGEVIN Hugo,76,,65.452,202.934,230.027,268.688,295.814,103,30,Finished,10008551037,
76,130,1130,IRMISCH Erik,77,,63.524,200.842,228.579,268.006,296.198,122,11,Finished,10003777425,
77,90,1090,KLEE Felix,78,,65.218,203.708,230.742,268.935,296.412,85,48,Finished,10008552249,
78,56,1056,WALKER Matthew,79,,71.77,206.787,233.521,270.147,296.464,54,79,Finished,10005838875,
79,121,1121,MORGAN Max,80,,63.888,203.444,231.029,269.64,296.563,114,19,Finished,10008949848,
80,128,1128,MCGLONE Fraser,81,,65.457,205.014,232.357,269.967,296.706,120,13,Finished,10007694306,
81,76,1076,LEVESQUE Dylan,82,,64.422,202.826,229.997,268.861,297.241,72,61,Finished,10008831731,
82,119,1119,ULMSCHNEIDER Till,83,,64.365,205.07,232.089,270.715,297.329,112,21,Finished,10054258043,
83,87,1087,CAROLI Jerome,84,,64.642,201.429,230.108,269.46,297.336,82,51,Finished,10008172232,
84,123,1123,PROCHYRA Jordan,85,,64.539,204.967,232.205,270.413,297.351,116,17,Finished,10010036551,
85,127,1127,DAVIES Emyr,86,,62.622,206.924,234.255,271.401,297.679,119,14,Finished,10006341255,
86,140,1140,GRANT Kelan,87,,66.003,203.239,230.224,270.446,298.068,131,2,Finished,10009422522,
87,91,1091,STRASSER Benny,88,,63.944,205.176,233.441,271.763,298.138,86,47,Finished,10004207053,
88,100,1100,HERD Sam,89,,64.845,204.182,231.232,269.8,298.351,95,38,Finished,10008827990,
89,62,1062,HANNAH Michael,90,,63.677,204.159,231.889,271.117,298.469,60,73,Finished,10002815812,
90,111,1111,JONES William,91,,63.908,205.011,232.854,271.621,298.63,105,28,Finished,10008088871,
91,44,1044,LALY Thibault,92,,65.415,206.288,233.647,272.456,299.426,42,91,Finished,10009533464,
92,50,1050,MARRY Kevin,93,,66.674,205.671,233.389,272.176,300.126,48,85,Finished,10009896711,
93,107,1107,MOLLOY Harry,94,,63.992,202.06,236.032,273.873,300.585,101,32,Finished,10006816454,
94,122,1122,WILLIAMSON Jay,95,,65.721,207.723,235.085,273.7,300.767,115,18,Finished,10008827384,
95,120,1120,FRIXTALON Hugo,96,,64.537,204.492,231.729,272.058,300.942,113,20,Finished,10016018118,
96,136,1136,BATE Conor,97,,65.626,207.19,235.349,273.675,301.086,127,6,Finished,10011103147,
97,114,1114,PHILOGENE Christopher,98,,64.494,209.156,236.37,274.812,301.731,108,25,Finished,10010129208,
98,105,1105,CIRIEGO Maxime,99,,67.268,206.669,234.519,274.415,302.514,99,34,Finished,10009447073,
99,96,1096,COUGOUREUX Benoit,100,,67.366,208.044,235.472,274.044,302.744,91,42,Finished,10009449501,
100,74,1074,LEIVSSON Isak,101,,66.95,208.429,235.861,275.19,302.75,70,63,Finished,10007422100,
101,54,1054,VESTAVIK Brage Evensen,102,,67.472,206.884,234.828,274.232,302.768,52,81,Finished,10049183933,
102,133,1133,CHIROSSEL Anthony,103,,65.999,207.165,234.867,275.11,303.888,124,9,Finished,10011213382,
103,103,1103,THIBAULT Samuel,104,,65.988,209.138,236.93,276.83,304.151,97,36,Finished,10008172333,
104,137,1137,POULSON Anthony,105,,67.278,208.452,235.533,275.32,304.598,128,5,Finished,10011086070,
105,97,1097,NESTOROFF Nikolas,106,,66.571,210.167,237.92,276.96,304.637,92,41,Finished,10011011201,
106,108,1108,CROWLEY Jack,107,,67.75,208.979,236.517,276.623,305.226,102,31,Finished,10010007653,
107,134,1134,GAILLOT Baptiste,108,,65.006,204.691,233.085,273.063,305.536,125,8,Finished,10016168466,
108,126,1126,RUETSCH Constantin,109,,66.857,208.952,236.975,277.691,306.125,118,15,Finished,10010012202,
109,139,1139,BOLDI Trevor,110,,67.023,211.466,238.926,279.017,306.666,130,3,Finished,10052416962,
110,53,1053,COCKBURN Luke,111,,65.762,207.534,235.111,275.823,306.816,51,82,Finished,10015618293,
111,35,1035,VAUH Miran,112,,65.714,209.185,243.477,283.513,310.659,33,100,Finished,10004274549,
112,118,1118,PIERRON Antoine,113,,65.035,214.072,241.294,282.373,311.296,111,22,Finished,10011102844,
113,125,1125,WEBER Myles,114,,66.967,211.578,242.589,285.121,316.337,117,16,Finished,10008834256,
114,116,1116,POSADA COLORADO John Sebastian,115,,68.829,220.655,249.115,290.909,319.992,110,23,Finished,10007376630,
115,60,1060,WEBER Lutz,116,,62.895,198.487,262.064,300.929,328.395,58,75,Finished,10006816959,
116,24,1024,COULANGES Benoit,117,,62.67,200.488,232.499,285.063,331.962,23,110,Finished,10008194359,
117,141,1141,LANFREDI Gabriel Imseis,118,,71.729,229.246,259.603,304.489,337.946,132,1,Finished,10012924020,
118,84,1084,GRANDY Silas,119,,65.706,245.982,289.508,334.536,363.612,79,54,Finished,10044339185,
119,34,1034,FREW Jackson,120,,129.213,343.718,377.038,420.762,450.485,32,101,Finished,10009895802,
120,131,1131,ULRICH Fabian,121,,66.891,331.904,411.142,485.104,515.101,123,10,Finished,10009566406,
121,98,1098,VIEIRA Roger,122,,,,,,,93,40,DNF,10009164258,
122,20,1020,MASTERS Edward,123,,,,,,,19,114,DSQ,10005560003,
123,3,1003,LUCAS Dean,124,,,,,,,3,130,DNS,10008103322,
124,11,1011,MINNAAR Greg,125,,,,,,,10,123,DNS,10002818640,
125,26,1026,KOLB Andreas,126,,,,,,,25,108,DNS,10009187092,
126,52,1052,VIEIRA Douglas,127,,,,,,,50,83,DNS,10010126679,
127,69,1069,PARDAL Francisco,128,,,,,,,66,67,DNS,10006818171,
128,85,1085,BARTH Joshua,129,,,,,,,80,53,DNS,10008835569,
129,102,1102,PFEIFFER Bryan,130,,,,,,,96,37,DNS,10009645016,
130,113,1113,HALL Roderick,131,,,,,,,107,26,DNS,10011146492,
131,135,1135,STEINER Julian,132,,,,,,,126,7,DNS,10008123732,
