,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank
0,1,2001,NICOLE Myriam,1,41.5,23.472,60.224,92.252,135.352,160.706,14,3,Finished,10004535237,3.0,0.625,0.0,1.0,0.0,0.0,36.751999999999995,1.0,0.0,0.0,1.0,0.0,0.0,32.028,1.0,0.0,0.0,1.0,0.0,0.0,43.10000000000001,2.0,0.1290000000000191,0.0,1.0,0.0,0.0,25.353999999999985,4.0,0.5659999999999741,0.0,11.527777777777779,0.0,10.0
1,4,2004,ATHERTON Rachel,2,43.03,22.847,61.748,95.397,139.415,164.265,16,1,Finished,10003434487,1.0,0.0,-0.625,3.0,1.524000000000001,1.524000000000001,38.900999999999996,4.0,2.149000000000001,2.149000000000001,2.0,3.1450000000000102,3.1450000000000102,33.64900000000001,2.0,1.6210000000000093,1.6210000000000093,2.0,4.062999999999988,4.062999999999988,44.01799999999999,4.0,1.046999999999997,0.917999999999978,2.0,3.5589999999999975,3.5589999999999975,24.849999999999994,2.0,0.0619999999999834,-0.5039999999999907,11.95277777777778,0.0,1.0
2,2,2002,SEAGRAVE Tahnee,3,42.89,22.902,61.248,95.686,139.696,164.484,12,5,Finished,10007414016,2.0,0.054999999999999716,-0.5700000000000003,2.0,1.024000000000001,1.024000000000001,38.346,2.0,1.5940000000000012,1.5940000000000012,3.0,3.4340000000000117,3.4340000000000117,34.43800000000001,7.0,2.410000000000011,2.410000000000011,3.0,4.343999999999994,4.343999999999994,44.00999999999999,3.0,1.0390000000000015,0.9099999999999824,3.0,3.77800000000002,3.77800000000002,24.78800000000001,1.0,0.0,-0.5659999999999741,11.91388888888889,0.03888888888888964,2.0
3,8,2008,CABIROU Marine,4,42.03,24.295,63.484,97.391,140.362,165.935,13,4,Finished,10009563069,6.0,1.4480000000000004,0.8230000000000004,5.0,3.260000000000005,3.260000000000005,39.189,5.0,2.4370000000000047,2.4370000000000047,5.0,5.13900000000001,5.13900000000001,33.907000000000004,4.0,1.8790000000000049,1.8790000000000049,4.0,5.009999999999991,5.009999999999991,42.97099999999999,1.0,0.0,-0.1290000000000191,4.0,5.229000000000013,5.229000000000013,25.573000000000008,7.0,0.7849999999999966,0.2190000000000225,11.675,0.27777777777777857,7.0
4,28,2028,RAVANEL Cecile,5,42.03,24.986,63.606,97.407,142.042,168.416,8,9,Finished,10002816317,9.0,2.1389999999999993,1.5139999999999993,6.0,3.382000000000005,3.382000000000005,38.620000000000005,3.0,1.8680000000000092,1.8680000000000092,6.0,5.155000000000001,5.155000000000001,33.800999999999995,3.0,1.7729999999999961,1.7729999999999961,5.0,6.689999999999998,6.689999999999998,44.635000000000005,5.0,1.6640000000000157,1.5349999999999966,5.0,7.710000000000008,7.710000000000008,26.373999999999995,12.0,1.5859999999999843,1.0200000000000102,11.675,0.27777777777777857,7.0
5,14,2014,HRASTNIK Monika,6,42.32,25.733,67.321,101.54,147.683,173.635,7,10,Finished,10017602955,12.0,2.8859999999999992,2.2609999999999992,7.0,7.097000000000001,7.097000000000001,41.587999999999994,7.0,4.8359999999999985,4.8359999999999985,7.0,9.288000000000011,9.288000000000011,34.21900000000001,6.0,2.1910000000000096,2.1910000000000096,6.0,12.330999999999989,12.330999999999989,46.14299999999999,7.0,3.171999999999997,3.042999999999978,6.0,12.929000000000002,12.929000000000002,25.951999999999998,9.0,1.1639999999999873,0.5980000000000132,11.755555555555556,0.19722222222222285,5.0
6,5,2005,SIEGENTHALER Emilie,7,42.59,24.839,70.361,106.006,151.454,177.593,11,6,Finished,10004167243,8.0,1.9919999999999973,1.3669999999999973,13.0,10.137000000000008,10.137000000000008,45.522000000000006,14.0,8.77000000000001,8.77000000000001,11.0,13.754000000000005,13.754000000000005,35.644999999999996,8.0,3.6169999999999973,3.6169999999999973,7.0,16.102000000000004,16.102000000000004,45.44800000000001,6.0,2.477000000000018,2.347999999999999,7.0,16.887,16.887,26.13899999999998,11.0,1.3509999999999707,0.7849999999999966,11.830555555555557,0.12222222222222179,4.0
7,30,2030,CURD Katy,8,42.83,25.08,67.731,104.743,152.632,177.849,6,11,Finished,10006044292,10.0,2.232999999999997,1.607999999999997,8.0,7.506999999999998,7.506999999999998,42.650999999999996,8.0,5.899000000000001,5.899000000000001,8.0,12.491,12.491,37.012,11.0,4.984000000000002,4.984000000000002,8.0,17.28,17.28,47.88900000000001,10.0,4.918000000000021,4.7890000000000015,8.0,17.143,17.143,25.216999999999985,3.0,0.4289999999999736,-0.13700000000000045,11.897222222222222,0.055555555555557135,3.0
8,13,2013,SALAZAR Mariana,9,42.59,24.796,69.349,105.951,152.711,178.096,5,12,Finished,10007687838,7.0,1.948999999999998,1.323999999999998,11.0,9.125000000000007,9.125000000000007,44.553000000000004,13.0,7.801000000000009,7.801000000000009,10.0,13.698999999999998,13.698999999999998,36.60199999999999,10.0,4.573999999999991,4.573999999999991,9.0,17.35900000000001,17.35900000000001,46.76000000000002,8.0,3.78900000000003,3.660000000000011,9.0,17.390000000000015,17.390000000000015,25.38499999999999,5.0,0.59699999999998,0.03100000000000591,11.830555555555557,0.12222222222222179,4.0
9,3,2003,HANNAH Tracey,10,42.26,23.703,63.029,97.077,153.333,178.898,15,2,Finished,10003732258,4.0,0.8559999999999981,0.2309999999999981,4.0,2.805000000000007,2.805000000000007,39.32600000000001,6.0,2.5740000000000123,2.5740000000000123,4.0,4.825000000000003,4.825000000000003,34.047999999999995,5.0,2.019999999999996,2.019999999999996,11.0,17.980999999999995,17.980999999999995,56.256,16.0,13.28500000000001,13.155999999999992,10.0,18.192000000000007,18.192000000000007,25.564999999999998,6.0,0.7769999999999868,0.21100000000001273,11.738888888888889,0.21388888888889035,6.0
10,9,2009,MILLER Miranda,11,32.93,23.732,68.136,105.187,152.908,179.384,9,8,Finished,10005872726,5.0,0.884999999999998,0.259999999999998,9.0,7.911999999999999,7.911999999999999,44.403999999999996,12.0,7.652000000000001,7.652000000000001,9.0,12.935000000000002,12.935000000000002,37.051,12.0,5.023000000000003,5.023000000000003,10.0,17.555999999999983,17.555999999999983,47.72099999999999,9.0,4.75,4.620999999999981,11.0,18.677999999999997,18.677999999999997,26.476,13.0,1.6879999999999882,1.122000000000014,9.147222222222222,2.805555555555557,14.0
11,10,2010,CAPPELLARI Carina,12,41.75,25.452,69.571,106.067,154.042,179.959,10,7,Finished,10006911535,11.0,2.6050000000000004,1.9800000000000004,12.0,9.347000000000001,9.347000000000001,44.119,11.0,7.367000000000004,7.367000000000004,13.0,13.814999999999998,13.814999999999998,36.495999999999995,9.0,4.467999999999996,4.467999999999996,12.0,18.689999999999998,18.689999999999998,47.97500000000001,11.0,5.004000000000019,4.875,12.0,19.253000000000014,19.253000000000014,25.917,8.0,1.1289999999999907,0.5630000000000166,11.597222222222223,0.35555555555555607,9.0
12,18,2018,RUBESAM Sandra,13,42.01,25.825,68.839,106.023,156.572,182.582,4,13,Finished,10052523258,13.0,2.977999999999998,2.352999999999998,10.0,8.615000000000002,8.615000000000002,43.013999999999996,9.0,6.2620000000000005,6.2620000000000005,12.0,13.771,13.771,37.184,14.0,5.155999999999999,5.155999999999999,13.0,21.22,21.22,50.54900000000001,13.0,7.578000000000017,7.448999999999998,13.0,21.876000000000005,21.876000000000005,26.00999999999999,10.0,1.22199999999998,0.6560000000000059,11.669444444444444,0.283333333333335,8.0
13,17,2017,WIDMANN Veronika,14,41.17,27.571,71.3,108.366,158.06,185.117,3,14,Finished,10007423312,16.0,4.724,4.099,14.0,11.076,11.076,43.729,10.0,6.977000000000004,6.977000000000004,14.0,16.114000000000004,16.114000000000004,37.066,13.0,5.038000000000004,5.038000000000004,14.0,22.708,22.708,49.694,12.0,6.723000000000013,6.593999999999994,14.0,24.411,24.411,27.056999999999988,15.0,2.268999999999977,1.703000000000003,11.436111111111112,0.5166666666666675,11.0
14,25,2025,BATTOLLA Eva,15,39.03,27.348,73.175,111.843,165.236,192.258,1,16,Finished,10010936631,15.0,4.500999999999998,3.8759999999999977,15.0,12.951,12.951,45.827,15.0,9.075000000000003,9.075000000000003,15.0,19.591000000000008,19.591000000000008,38.668000000000006,15.0,6.640000000000008,6.640000000000008,15.0,29.883999999999986,29.883999999999986,53.39299999999999,15.0,10.421999999999997,10.292999999999978,15.0,31.55200000000002,31.55200000000002,27.02200000000002,14.0,2.234000000000009,1.6680000000000348,10.841666666666667,1.1111111111111125,13.0
15,26,2026,SCHWEMMER Kim,16,39.83,27.26,74.513,114.81,165.879,205.299,2,15,Finished,10007401686,14.0,4.413,3.7880000000000003,16.0,14.289000000000009,14.289000000000009,47.253,16.0,10.501000000000005,10.501000000000005,16.0,22.558000000000007,22.558000000000007,40.297,16.0,8.268999999999998,8.268999999999998,16.0,30.526999999999987,30.526999999999987,51.06899999999999,14.0,8.097999999999999,7.96899999999998,16.0,44.59300000000002,44.59300000000002,39.420000000000016,16.0,14.632000000000005,14.066000000000031,11.063888888888888,0.8888888888888911,12.0
