,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
107,23,1023,WALKER Matt,108,62.682,192.887,230.345,275.401,311.641,23,123,Finished,10011016756,
108,83,1083,WEBER Lutz,109,81.067,166.703,226.856,281.974,322.007,71,75,Finished,10006816959,
109,148,1148,HART Will,110,103.767,190.367,232.469,283.974,322.683,131,15,Finished,10010007249,
110,104,1104,NAJAFI BAZI Amin,111,70.642,172.301,229.302,287.017,326.316,90,56,Finished,10007717847,
111,163,1163,SHAW Samuel,112,72.656,183.99,233.94,289.968,330.056,141,5,Finished,10007558203,
112,137,1137,VELASCO Niko,113,69.752,182.939,236.072,289.171,330.567,119,27,Finished,10017791905,
113,12,1012,LUCAS Dean,114,68.486,177.179,223.356,295.853,335.093,12,134,Finished,10008103322,
114,164,1164,BOLDI Trevor,115,70.879,182.248,251.042,303.301,341.725,142,4,Finished,10052416962,
115,122,1122,PINTAR Rudi,116,75.019,174.061,241.351,298.148,347.256,105,41,Finished,10016020744,
116,156,1156,KAUPAS Wiley,117,67.643,173.642,256.94,311.995,353.892,137,9,Finished,10014688814,
117,145,1145,POULSON Anthony,118,69.051,174.463,269.55,323.645,362.76,127,19,Finished,10011086070,
118,43,1043,FAYOLLE Alexandre,119,72.293,171.53,268.805,346.255,387.171,40,106,Finished,10008168996,
119,71,1071,STEPANEK Ondrej,120,69.954,182.097,286.805,347.189,390.859,61,85,Finished,10007713706,
120,152,1152,RIED Elliot,121,75.673,237.128,295.911,353.411,392.894,133,13,Finished,10013710730,
121,150,1150,MONZONI Federico,122,82.715,195.292,299.184,355.56,398.23,132,14,Finished,10011103248,
122,132,1132,WILLIS Joel,123,68.394,152.346,195.491,348.058,402.193,115,31,Finished,10009539326,
123,107,1107,ZARCO JIMENEZ Luis,124,79.419,217.374,290.594,359.903,402.351,93,53,Finished,10008068461,
124,73,1073,MCDOWALL Kirk,125,64.417,141.603,236.901,434.113,519.111,62,84,Finished,10008617119,
125,2,1002,GWIN Aaron,126,,,,,,2,144,DNF,10006516663,
126,112,1112,FISCHBACH Johannes,127,,,,,,97,49,DNF,10004475825,
127,106,1106,VIEIRA Douglas,128,,,,,,92,54,DNF,10010126679,
128,100,1100,PETRUCCI Francesco Danilo,129,,,,,,86,60,DNF,10006770681,
129,77,1077,VAUH Miran,130,,,,,,65,81,DNF,10004274549,
130,94,1094,BARANEK Rastislav,131,,,,,,81,65,DNF,10008169808,
