,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
58,28,1028,CHAPMAN Rupert,59,51.178,89.285,128.759,173.588,204.308,28,135,Finished,10006841413,
59,61,1061,PIERRON Baptiste,60,53.898,89.595,130.307,174.003,204.34,59,104,Finished,10008586504,
60,52,1052,GARLICKI Stefan,61,51.56,89.433,128.055,173.376,204.413,51,112,Finished,10006796549,
61,119,1119,CZERMAK Wojciech,62,51.971,89.067,129.478,173.982,204.507,110,53,Finished,10009083325,
62,49,1049,WILLIAMSON Greg,63,51.569,88.762,127.845,172.845,204.601,48,115,Finished,10006909111,
63,132,1132,ROJCEK Adam,64,51.404,89.147,129.059,174.114,204.733,122,41,Finished,10010032612,
64,77,1077,RUFFIN Gaetan,65,51.197,88.386,128.778,173.611,204.734,73,90,Finished,10007305090,
65,21,1021,HARRISON Charlie,66,52.572,90.914,129.892,174.497,205.077,21,142,Finished,10009645925,
66,66,1066,MASTERS Wyn,67,51.551,89.076,128.707,173.164,205.107,64,99,Finished,10004406107,
67,86,1086,MCDOWALL Kirk,68,51.749,89.641,128.998,173.951,205.125,81,82,Finished,10008617119,
68,54,1054,GEORGES Pierre Charles,69,51.511,88.751,129.1,173.627,205.25,53,110,Finished,10003687394,
69,64,1064,FREW Jackson,70,51.858,89.606,129.225,173.69,205.277,62,101,Finished,10009895802,
70,115,1115,NEWELL Jake,71,52.219,90.513,130.565,175.105,205.333,106,57,Finished,10007488582,
71,81,1081,GUTIERREZ VILLEGAS Rafael,72,51.736,89.171,128.782,173.528,205.62,76,87,Finished,10007692787,
72,58,1058,HEAP Elliott,73,51.339,88.571,129.475,173.538,205.895,56,107,Finished,10009843965,
73,79,1079,COLOMBO Francesco,74,51.684,89.26,129.261,174.18,205.904,74,89,Finished,10008073010,
74,90,1090,WRIGHT Keegan,75,51.366,88.715,128.747,174.166,206.058,84,79,Finished,10009539831,
75,71,1071,RUFFIN Thibaut,76,50.776,88.507,127.954,174.369,206.089,68,95,Finished,10003396293,
76,96,1096,GALLAGHER Kenta,77,50.994,88.773,129.083,175.466,206.698,89,74,Finished,10006812616,
77,109,1109,PANDUR Ziga,78,51.571,89.588,129.378,174.48,206.744,100,63,Finished,10006826760,
78,57,1057,SEHNAL Stanislav,79,51.616,90.285,129.955,175.697,206.933,55,108,Finished,10007710571,
79,45,1045,PONS Melvin,80,51.067,88.096,129.613,174.887,206.959,44,119,Finished,10007714514,
80,50,1050,VIEIRA Roger,81,52.429,90.88,130.87,176.019,206.973,49,114,Finished,10009164258,
81,148,1148,SHAW Walker,82,52.258,90.954,129.596,175.39,207.106,138,25,Finished,10008116759,
82,105,1105,MORTON Remy,83,52.697,90.671,130.899,175.935,207.151,96,67,Finished,10009843864,
83,70,1070,LEVESQUE Dylan,84,51.345,89.659,130.172,175.685,207.268,67,96,Finished,10008831731,
84,42,1042,PARDAL Francisco,85,51.917,90.012,129.881,176.44,207.426,41,122,Finished,10006818171,
85,110,1110,KLEE Felix,86,51.913,89.879,130.521,175.334,207.512,101,62,Finished,10008552249,
86,135,1135,BARTH Joshua,87,51.584,88.449,130.224,175.607,207.616,125,38,Finished,10008835569,
87,122,1122,KLEIN Bruce,88,51.688,89.736,129.5,177.047,207.673,113,50,Finished,10010038571,
88,146,1146,DAVIES Emyr,89,52.15,90.331,130.008,175.985,207.979,136,27,Finished,10006341255,
89,127,1127,LOWE Josh,90,51.959,90.167,129.961,176.302,208.135,117,46,Finished,10007661566,
90,163,1163,WILLIAMSON Jay,91,52.261,90.771,132.042,177.206,208.598,153,10,Finished,10008827384,
91,121,1121,GANNICOTT George,92,51.465,89.681,131.78,177.394,208.864,112,51,Finished,10008169101,
92,73,1073,LALY Thibault,93,52.322,91.659,131.36,177.02,209.374,70,93,Finished,10009533464,
93,169,1169,LEHMANN Janis,94,52.037,91.569,132.544,177.673,209.424,159,4,Finished,10010012303,
94,114,1114,ZWAR Oliver,95,52.558,90.907,132.014,177.889,209.524,105,58,Finished,10008106857,
95,104,1104,WEBER Basil,96,51.97,90.299,130.582,177.825,209.58,95,68,Finished,10007392895,
96,166,1166,FEICHTINGER Michael,97,52.899,92.92,133.258,178.035,209.709,156,7,Finished,10014745903,
97,107,1107,CAIRE Carlo,98,52.826,90.96,132.028,176.985,209.749,98,65,Finished,10007645705,
98,89,1089,MANSON Magnus,99,52.358,91.348,131.38,178.291,209.871,83,80,Finished,10009819313,
99,60,1060,LESLIE Shane,100,52.906,92.274,132.162,178.737,210.016,58,105,Finished,10008863962,
100,72,1072,LARBEYOU Guillaume,101,51.84,90.334,132.515,177.824,210.072,69,94,Finished,10008175969,
101,117,1117,CARBALLO GONZALEZ Edgar,102,52.266,90.736,132.011,178.543,210.158,108,55,Finished,10004684878,
102,94,1094,VAUH Miran,103,51.564,90.203,130.403,177.177,210.214,87,76,Finished,10004274549,
103,44,1044,BICA Vasco,104,52.352,90.537,132.535,178.184,210.502,43,120,Finished,10008101706,
104,152,1152,JONES William,105,51.158,89.062,129.97,177.353,210.593,142,21,Finished,10008088871,
105,138,1138,HEINE Felix,106,52.336,91.658,132.89,178.909,210.7,128,35,Finished,10008920041,
106,154,1154,SEEWALD Pablo,107,53.093,92.72,133.698,179.964,211.243,144,19,Finished,10008105746,
107,131,1131,CIRIEGO Maxime,108,53.336,92.853,134.007,180.21,211.282,121,42,Finished,10009447073,
108,145,1145,PFEIFFER Bryan,109,53.445,92.825,134.42,179.452,211.477,135,28,Finished,10009645016,
109,165,1165,CHIROSSEL Anthony,110,53.212,92.315,135.23,181.023,211.693,155,8,Finished,10011213382,
110,124,1124,MCCORKELL Matthew,111,53.153,91.569,133.758,179.149,212.053,115,48,Finished,10009132734,
111,141,1141,RICHARDS Shaun,112,51.97,91.061,132.727,179.329,212.123,131,32,Finished,10008827788,
112,151,1151,MEARS Scott,113,51.982,91.409,133.188,180.161,212.135,141,22,Finished,10005888385,
113,102,1102,PRYIMACHEK Iegor,114,51.929,91.543,131.724,179.557,212.195,93,70,Finished,10008164451,
114,155,1155,CHATANAY Valentin,115,53.466,93.088,134.859,181.063,212.709,145,18,Finished,10009896812,
115,140,1140,STUDNICKA Lukas,116,53.506,92.14,133.771,180.248,212.761,130,33,Finished,10011023325,
116,139,1139,ROBENEK Hugo,117,52.425,91.536,134.197,179.909,212.899,129,34,Finished,10010021494,
117,113,1113,PETRUCCI Francesco Danilo,118,52.793,92.263,135.561,181.515,213.06,104,59,Finished,10006770681,
118,156,1156,PEKAR Jakub,119,54.037,93.273,134.442,181.821,213.647,146,17,Finished,10008168794,
119,168,1168,ANTON Mario,120,53.821,92.838,135.461,182.422,213.732,158,5,Finished,10015139256,
120,84,1084,KUSHIMA Yuki,121,53.271,92.628,135.031,181.825,214.045,79,84,Finished,10007430281,
121,143,1143,FITZGERALD Henry,122,54.18,95.408,135.167,183.133,214.353,133,30,Finished,10009831033,
122,137,1137,COMETTI Luca,123,53.425,93.583,134.948,182.636,214.583,127,36,Finished,10008834761,
123,106,1106,GRANDY Silas,124,54.686,93.559,134.763,181.146,214.671,97,66,Finished,10044339185,
124,111,1111,IMOTO Hajime,125,53.363,92.978,134.827,182.234,215.059,102,61,Finished,10006840908,
125,157,1157,MCCUBBING Frazer,126,54.619,93.96,135.246,182.18,215.299,147,16,Finished,10009447982,
126,147,1147,ULRICH Fabian,127,53.512,92.678,135.515,183.445,215.81,137,26,Finished,10009566406,
127,159,1159,STANO Lubos,128,53.607,93.565,135.828,183.629,215.951,149,14,Finished,10010012505,
128,118,1118,SCHARF Max,129,53.063,91.564,132.206,184.074,216.067,109,54,Finished,10009644511,
129,160,1160,ZEMAN Filip,130,52.519,92.935,135.753,183.413,216.262,150,13,Finished,10010008461,
130,129,1129,WIELAND Erich,131,54.35,95.238,137.072,183.947,216.468,119,44,Finished,10008587312,
131,164,1164,VAN DER MERWE Adi,132,53.235,93.287,135.636,184.355,216.955,154,9,Finished,10007692484,
