,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,1,2001,HANNAH Tracey,1,,54.727,95.205,138.831,186.89,220.314,1,34,Finished,10003732258,50.0
1,5,2005,SEAGRAVE Tahnee,2,,54.863,96.321,139.807,188.358,222.727,5,30,Finished,10007414016,40.0
2,4,2004,CARPENTER Manon,3,,54.982,97.264,140.043,191.645,226.397,4,31,Finished,10007368546,30.0
3,2,2002,NICOLE Myriam,4,,54.788,95.301,139.287,190.674,226.851,2,33,Finished,10004535237,25.0
4,9,2009,FARINA Eleonora,5,,56.695,98.755,143.381,193.198,227.746,9,26,Finished,10010007855,20.0
5,6,2006,SIEGENTHALER Emilie,6,,57.349,99.765,145.227,195.677,231.577,6,29,Finished,10004167243,16.0
6,18,2018,MARCELLINI Alia,7,,57.339,100.622,145.502,197.749,233.508,17,18,Finished,10006825649,14.0
7,17,2017,HRASTNIK Monika,8,,57.137,101.092,145.902,198.273,234.876,16,19,Finished,10017602955,12.0
8,7,2007,CHARRE Morgane,9,,57.154,100.264,146.36,198.454,235.084,7,28,Finished,10006509690,10.0
9,10,2010,CABIROU Marine,10,,57.865,102.847,146.7,199.294,235.991,10,25,Finished,10009563069,5.0
10,14,2014,VERBEECK Vaea,11,,58.498,103.804,148.879,201.802,237.163,14,21,Finished,10006526969,
11,8,2008,SALAZAR Mariana,12,,58.435,105.557,150.051,204.766,241.01,8,27,Finished,10007687838,
12,16,2016,WIDMANN Veronika,13,,59.686,106.637,152.392,206.279,245.074,15,20,Finished,10007423312,
13,11,2011,CAPPELLARI Carina,14,,60.591,107.319,153.91,209.215,246.447,11,24,Finished,10006911535,
14,13,2013,RUBESAM Sandra,15,,60.115,105.679,152.86,209.818,247.229,13,22,Finished,10005570511,
15,20,2020,RUTZ Lea Salome,16,,58.629,106.689,152.964,210.355,249.755,19,16,Finished,10010012000,
16,25,2025,WECHSELBERGER Simone,17,,60.537,108.284,155.364,211.266,250.018,23,12,Finished,10010670384,
17,19,2019,NOGUEIRA Camila,18,,61.596,109.937,157.001,213.06,250.292,18,17,Finished,10008589635,
18,27,2027,RONNING Frida Helena,19,,58.721,105.597,153.622,212.408,250.64,25,10,Finished,10008084326,
19,21,2021,SCHWEMMER Kim,20,,61.266,109.686,157.441,215.09,253.478,20,15,Finished,10007401686,
20,34,2034,RABEDER Elke,21,,62.286,110.194,157.852,214.961,255.186,32,3,Finished,10005884446,
21,31,2031,HILL-WRIGHT Ronja,22,,62.157,112.795,159.004,218.297,257.627,29,6,Finished,10010623807,
22,23,2023,FINK Geraldine,23,,62.281,113.446,159.682,218.507,257.704,22,13,Finished,10008552350,
23,26,2026,MOLLOY Tegan,24,,61.498,113.667,160.067,221.177,258.983,24,11,Finished,10008826980,
24,22,2022,BJORKMAN Josefine,25,,63.097,112.211,161.15,221.483,260.808,21,14,Finished,10007928015,
25,29,2029,SKUMBINA Anna,26,,61.384,111.073,161.528,223.462,264.045,27,8,Finished,10007933166,
26,28,2028,WOHLGENSINGER Alexandra,27,,63.727,114.299,163.257,226.988,265.939,26,9,Finished,10010735153,
27,36,2036,BELL Cairn,28,,65.437,115.415,166.249,229.085,269.466,33,2,Finished,10011212069,
28,30,2030,LEIVSDOTTIR Vera,29,,65.134,117.182,165.805,229.36,269.616,28,7,Finished,10010898134,
29,32,2032,DUTOVA Vera,30,,67.281,121.517,177.651,243.022,288.583,30,5,Finished,10009254790,
30,3,2003,ATHERTON Rachel,31,,,,,,,3,32,DNS,10003434487,
31,12,2012,MILLER Miranda,32,,,,,,,12,23,DNS,10005872726,
32,33,2033,BULSKA Agata,33,,,,,,,31,4,DNS,10011186407,
33,37,2037,ARMSTRONG Virginia,34,,,,,,,34,1,DNS,10052926416,
