,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
67,108,1108,RIESCO Forrest,68,48.746,86.639,128.909,175.009,207.122,96,63,Finished,10008550734,
68,136,1136,MORGAN Max,69,48.864,87.96,128.788,175.256,207.216,122,37,Finished,10008949848,
69,39,1039,NIEDERBERGER Noel,70,49.428,86.923,126.575,175.816,207.245,36,123,Finished,10007568913,
70,129,1129,MARRY Kevin,71,48.047,86.288,127.596,174.58,207.27,116,43,Finished,10009896711,
71,87,1087,CAROLI Jerome,72,48.347,86.708,128.185,174.567,207.328,76,83,Finished,10008172232,
72,99,1099,COUGOUREUX Benoit,73,48.969,87.494,128.799,174.802,207.372,88,71,Finished,10009449501,
73,54,1054,VAUH Miran,74,48.818,87.449,126.723,174.777,207.792,48,111,Finished,10004274549,
74,47,1047,CARBALLO GONZALEZ Edgar,75,49.53,88.786,130.166,176.411,208.25,43,116,Finished,10004684878,
75,115,1115,CIRIEGO Maxime,76,49.052,87.589,129.867,176.213,208.283,103,56,Finished,10009447073,
76,38,1038,COULANGES Benoit,77,47.661,91.901,132.12,176.658,208.298,35,124,Finished,10008194359,
77,91,1091,MACKINNON Kiran,78,48.951,87.621,128.348,175.975,208.373,80,79,Finished,10007888104,
78,75,1075,COLOMBO Francesco,79,49.157,88.448,129.421,176.283,208.443,66,93,Finished,10008073010,
79,89,1089,KLEE Felix,80,50.528,89.038,130.428,176.564,208.477,78,81,Finished,10008552249,
80,145,1145,CHATANAY Valentin,81,49.299,87.907,130.922,176.339,208.507,130,29,Finished,10009896812,
81,135,1135,FRIXTALON Hugo,82,50.002,87.68,131.309,176.737,208.522,121,38,Finished,10016018118,
82,45,1045,DIPASQUALE Charly,83,49.418,87.662,129.064,176.145,208.563,41,118,Finished,10060004382,
83,90,1090,ROJCEK Adam,84,49.567,88.335,129.018,176.099,208.665,79,80,Finished,10010032612,
84,97,1097,FISCHBACH Johannes,85,48.595,86.754,126.414,176.589,208.865,86,73,Finished,10004475825,
85,79,1079,HARTENSTERN Max,86,49.096,87.212,128.036,174.871,209.413,69,90,Finished,10011213584,
86,69,1069,STEPANEK Ondrej,87,50.694,90.239,130.239,177.003,209.425,60,99,Finished,10007713706,
87,148,1148,BLAIR Lachlan,88,50.165,88.726,130.757,177.248,209.74,133,26,Finished,10008827687,
88,142,1142,VESTAVIK Brage Evensen,89,50.24,89.371,131.063,177.28,209.916,127,32,Finished,10049183933,
89,152,1152,BERNET Jonas,90,50.053,88.688,131.161,177.507,209.979,137,22,Finished,10007888003,
90,102,1102,NEWELL Jake,91,50.007,88.716,130.31,177.391,210.008,91,68,Finished,10007488582,
91,83,1083,COUGOUREUX Sylvain,92,49.264,88.673,131.114,177.89,210.019,73,86,Finished,10011080717,
92,103,1103,NESTOROFF Nikolas,93,50.962,89.71,130.554,177.623,210.103,92,67,Finished,10011011201,
93,140,1140,ULMSCHNEIDER Till,94,50.303,90.376,130.856,177.761,210.468,126,33,Finished,10054258043,
94,119,1119,LANGEVIN Hugo,95,51.104,90.65,131.947,178.195,210.671,107,52,Finished,10008551037,
95,134,1134,LEBL Martin,96,50.779,90.007,131.531,178.19,210.76,120,39,Finished,10008835367,
96,13,1013,WILSON Reece,97,46.018,95.692,135.931,179.793,210.855,13,146,Finished,10009563271,
97,107,1107,CZERMAK Wojciech,98,50.929,89.833,131.72,178.543,211.316,95,64,Finished,10009083325,
98,133,1133,PIERRON Antoine,99,50.803,89.769,132.227,178.987,211.369,119,40,Finished,10011102844,
99,120,1120,KRAL Antonin,100,52.107,90.336,133.199,179.405,211.381,108,51,Finished,10016067628,
100,163,1163,ERLANGSEN Theo,101,50.951,90.672,131.993,179.82,211.835,147,12,Finished,10008867400,
101,132,1132,PAYET Romain,102,49.876,88.21,132.129,179.389,211.838,118,41,Finished,10007700972,
102,126,1126,LUCAS Cole,103,49.14,89.251,130.443,178.809,211.913,113,46,Finished,10010037965,
103,112,1112,VIEIRA Douglas,104,51.167,91.002,132.963,179.391,212.266,100,59,Finished,10010126679,
104,139,1139,RUETSCH Constantin,105,50.377,90.031,132.61,180.187,212.834,125,34,Finished,10010012202,
105,101,1101,GALLAGHER Kenta,106,51.126,90.437,131.863,179.108,212.888,90,69,Finished,10006812616,
106,94,1094,STRASSER Benny,107,51.745,92.442,132.802,180.215,213.206,83,76,Finished,10004207053,
107,125,1125,COCKBURN Luke,108,51.818,90.687,133.433,180.358,213.267,112,47,Finished,10015618293,
108,149,1149,PRIES Timo,109,51.761,91.326,132.627,180.173,213.473,134,25,Finished,10007753718,
109,154,1154,ANDRIOTIS Konstantinos,110,50.666,91.524,134.442,181.472,213.62,139,20,Finished,10007144840,
110,105,1105,PETRUCCI Francesco Danilo,111,50.859,90.533,132.287,180.09,213.996,94,65,Finished,10006770681,
111,122,1122,BERGINC Luka,112,52.976,91.783,133.47,181.133,214.058,110,49,Finished,10009441417,
112,161,1161,REUSSER Pascal,113,50.336,90.987,131.886,180.681,214.274,146,13,Finished,10011013322,
113,85,1085,CHIANG Sheng Shan,114,51.12,90.469,132.583,181.238,214.687,74,85,Finished,10007718453,
114,138,1138,WEBER Myles,115,50.659,90.18,133.423,181.75,215.167,124,35,Finished,10008834256,
115,147,1147,ABBOU Jannik,116,52.067,92.905,133.257,181.623,215.7,132,27,Finished,10009897721,
116,155,1155,BATE Conor,117,51.558,91.685,134.865,182.906,216.304,140,19,Finished,10011103147,
117,146,1146,RHAM Lucas,118,51.282,92.073,134.858,183.471,216.907,131,28,Finished,10011753451,
118,137,1137,PROCHYRA Jordan,119,49.31,87.976,129.015,175.362,217.303,123,36,Finished,10010036551,
119,121,1121,HACKETT-KLAUBE Austin,120,52.297,93.705,134.667,184.365,218.243,109,50,Finished,10007888205,
120,73,1073,PAEZ Jeronimo,121,52.811,93.293,135.739,185.105,218.835,64,95,Finished,10015569894,
121,104,1104,HERD Sam,122,51.044,92.222,135.492,185.303,219.236,93,66,Finished,10008827990,
122,153,1153,HEDMAN Tim,123,54.222,94.333,137.314,186.207,219.41,138,21,Finished,10007886585,
123,150,1150,POULSON Anthony,124,50.6,90.064,133.876,186.68,220.078,135,24,Finished,10011086070,
124,80,1080,GRANDY Silas,125,51.598,89.721,131.018,187.06,220.579,70,89,Finished,10044339185,
125,156,1156,FOLVARCNY Petr,126,52.779,95.312,136.968,186.963,221.56,141,18,Finished,10011101733,
126,164,1164,WHITE Jackson,127,53.052,93.495,137.87,187.451,221.888,148,11,Finished,10011108096,
127,167,1167,ERIKSSON Adam,128,53.292,95.153,138.497,188.379,222.179,150,9,Finished,10016021249,
128,169,1169,PIRKER Sebastian,129,52.084,93.309,137.387,187.406,222.362,152,7,Finished,10011213180,
129,174,1174,DAVIES Kieran,130,52.683,93.997,138.724,188.418,222.519,156,3,Finished,10017887386,
130,171,1171,ORY Harrison,131,53.788,95.583,138.626,188.871,223.132,153,6,Finished,10010038268,
131,173,1173,BOLDI Trevor,132,54.193,97.621,140.054,190.08,225.56,155,4,Finished,10052416962,
132,127,1127,POSADA COLORADO John Sebastian,133,52.905,94.008,139.208,190.757,225.663,114,45,Finished,10007376630,
133,100,1100,PRYIMACHEK Iegor,134,53.113,97.424,139.299,191.431,226.02,89,70,Finished,10008164451,
134,160,1160,GUIBAL Thomas,135,53.662,95.578,140.98,191.874,226.986,145,14,Finished,10011238442,
135,110,1110,PALOTAI Gabor,136,56.055,97.686,142.576,193.06,228.286,98,61,Finished,10008552855,
136,57,1057,READING Jack,137,48.801,88.221,128.913,175.185,228.579,51,108,Finished,10006576176,
137,172,1172,SANDBERG Jonathan,138,52.645,94.159,135.87,193.225,232.493,154,5,Finished,10010012707,
138,130,1130,VIKKER Marcell,139,56.296,99.06,145.912,197.247,233.332,117,42,Finished,10010897932,
139,158,1158,MARCINA Peter,140,56.3,102.329,146.001,200.055,237.46,143,16,Finished,10011103854,
140,157,1157,WILLIAMS Michael,141,57.629,103.709,148.576,202.802,238.735,142,17,Finished,10011112746,
141,176,1176,RIED Elliot,142,54.699,97.143,141.307,206.306,242.106,158,1,Finished,10013710730,
142,175,1175,HAGGREN Oliver,143,57.999,105.098,152.485,206.414,243.308,157,2,Finished,10054153262,
143,118,1118,SLIPCHENKO Mykyta,144,57.564,103.777,148.859,212.682,249.697,106,53,Finished,10009066854,
144,124,1124,STANO Lubos,145,51.841,107.926,154.48,213.999,250.279,111,48,Finished,10010012505,
145,159,1159,HART Will,146,50.519,90.255,132.529,243.672,278.836,144,15,Finished,10010007249,
146,151,1151,KAUPAS Wiley,147,52.084,97.438,140.899,193.991,284.307,136,23,Finished,10014688814,
147,111,1111,VIEIRA Roger,148,49.538,88.493,130.153,234.531,328.237,99,60,Finished,10009164258,
148,168,1168,NEUBAUER Julian,149,54.119,96.148,145.191,253.112,330.51,151,8,Finished,10009566204,
149,37,1037,RUFFIN Thibaut,150,,,,,,34,125,DNF,10003396293,
150,50,1050,FAYOLLE Alexandre,151,,,,,,45,114,DNF,10008168996,
151,114,1114,THIBAULT Samuel,152,,,,,,102,57,DNF,10008172333,
152,143,1143,ULRICH Fabian,153,,,,,,128,31,DNF,10009566406,
153,28,1028,HATTON Charlie,154,,,,,,26,133,DNS,10009897014,
154,109,1109,THEODOROU Andreas,155,,,,,,97,62,DNS,10060513634,
155,128,1128,ROBENEK Hugo,156,,,,,,115,44,DNS,10010021494,
156,144,1144,VELASCO Niko,157,,,,,,129,30,DNS,10017791905,
157,166,1166,LANFREDI Gabriel Imseis,158,,,,,,149,10,DNS,10012924020,
