,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,5,2005,SEAGRAVE Tahnee,1,,52.713,93.398,136.181,183.36,216.082,14,2,Finished,10007414016,200
1,1,2001,HANNAH Tracey,2,,53.339,93.594,136.925,184.654,216.775,15,1,Finished,10003732258,160
2,2,2002,NICOLE Myriam,3,,53.24,93.921,137.521,185.418,218.582,12,4,Finished,10004535237,140
3,4,2004,CARPENTER Manon,4,,53.561,94.21,136.244,185.207,219.027,13,3,Finished,10007368546,125
4,6,2006,SIEGENTHALER Emilie,5,,55.22,96.663,141.404,190.824,224.136,10,6,Finished,10004167243,110
5,18,2018,MARCELLINI Alia,6,,55.659,97.348,141.714,191.353,225.497,9,7,Finished,10006825649,95
6,7,2007,CHARRE Morgane,7,,55.837,98.295,142.454,192.835,226.714,7,9,Finished,10006509690,80
7,10,2010,CABIROU Marine,8,,57.003,99.188,142.905,192.029,227.037,6,10,Finished,10009563069,70
8,9,2009,FARINA Eleonora,9,,55.814,98.257,143.084,193.649,227.418,11,5,Finished,10010007855,60
9,17,2017,HRASTNIK Monika,10,,56.255,97.908,142.532,194.574,229.358,8,8,Finished,10017602955,55
10,11,2011,CAPPELLARI Carina,11,,57.256,99.862,144.935,196.504,232.375,2,14,Finished,10006911535,45
11,8,2008,SALAZAR Mariana,12,,55.946,99.513,144.371,198.198,234.713,5,11,Finished,10007687838,35
12,16,2016,WIDMANN Veronika,13,,56.738,100.638,145.843,199.248,235.896,3,13,Finished,10007423312,25
13,14,2014,VERBEECK Vaea,14,,56.339,107.535,151.76,202.642,236.501,4,12,Finished,10006526969,15
14,13,2013,RUBESAM Sandra,15,,59.024,102.092,148.395,202.921,238.909,1,15,Finished,10005570511,5
