,bib,id,name,rank,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
56,21,1021,HARRISON Charlie,57,50.775,87.213,125.919,170.398,200.05,15,66,Finished,10009645925,4.0
57,96,1096,GALLAGHER Kenta,58,49.854,86.527,126.35,170.673,200.223,4,77,Finished,10006812616,3.0
58,66,1066,MASTERS Wyn,59,50.225,87.022,125.962,170.079,200.269,14,67,Finished,10004406107,2.0
59,119,1119,CZERMAK Wojciech,60,50.227,86.427,126.211,170.522,200.522,19,62,Finished,10009083325,1.0
60,36,1036,RIESCO Forrest,61,49.812,85.0,124.976,171.197,200.704,37,44,Finished,10008550734,
61,54,1054,GEORGES Pierre Charles,62,50.514,86.386,127.021,170.716,200.879,12,69,Finished,10003687394,
62,63,1063,JAUCH Jasper,63,50.359,86.841,127.508,170.85,200.979,32,49,Finished,10007455745,
63,115,1115,NEWELL Jake,64,50.773,86.977,126.6,171.131,201.329,10,71,Finished,10007488582,
64,52,1052,GARLICKI Stefan,65,49.637,86.947,125.566,170.038,201.342,20,61,Finished,10006796549,
65,87,1087,BARANEK Rastislav,66,50.28,86.93,126.729,171.318,201.376,40,41,Finished,10008169808,
66,95,1095,MOLLOY Harry,67,50.272,87.015,126.303,170.896,201.504,31,50,Finished,10006816454,
67,81,1081,GUTIERREZ VILLEGAS Rafael,68,50.489,87.181,127.117,171.511,202.553,9,72,Finished,10007692787,
68,20,1020,BRAYTON Adam,69,56.417,92.672,133.112,175.587,204.239,54,27,Finished,10005386110,
69,45,1045,PONS Melvin,70,50.888,88.01,129.282,174.453,205.393,1,80,Finished,10007714514,
70,69,1069,DALE Sam,71,51.73,88.177,126.339,170.663,206.002,33,48,Finished,10005778554,
71,57,1057,SEHNAL Stanislav,72,55.27,92.201,131.887,175.979,206.272,2,79,Finished,10007710571,
72,62,1062,BUTTON Joshua,73,61.064,96.799,137.243,180.172,209.562,26,55,Finished,10005767844,
73,77,1077,RUFFIN Gaetan,74,50.31,89.784,129.333,182.739,213.203,16,65,Finished,10007305090,
74,92,1092,MUDD Graeme,75,50.105,87.86,125.397,175.721,215.415,43,38,Finished,10007244264,
75,71,1071,RUFFIN Thibaut,76,49.577,112.047,152.522,198.216,230.876,5,76,Finished,10003396293,
76,5,1005,FAYOLLE Alexandre,77,48.716,89.779,141.989,195.757,231.827,68,13,Finished,10008168996,
77,47,1047,MASTERS Edward,78,86.881,155.499,202.771,258.473,296.723,41,40,Finished,10005560003,
78,10,1010,THIRION Remi,79,,,,,,69,12,DNS,10005415715,
79,14,1014,BRUNI Loic,80,,,,,,77,4,DNS,10007544358,
